Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Estimated Revenue Range,Founded Date,Founded Date Precision,Industry Groups,Number of Founders,Number of Employees,Number of Funding Rounds,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Number of Investors,IPO Status,IPO Date,Acquisition Status,Number of Events,Number of Lead Investors,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,IPqwery - Total Patents,IPqwery - Total Trademarks,Investment Stage
Allied Esports,https://www.crunchbase.com/organization/allied-esports,"eSports, Fantasy Sports, Gaming","Santa Ana, California, United States",Allied Esports is a network of dedicated e-sports venues and content production facilities.,"12,302",,2016-01-01,year,"Gaming, Sports",,101-250,1,5000000,USD,5000000,1,Private,,,,1,,2019-07-04,5000000,USD,5000000,Corporate Round,1,29,
Jio Health,https://www.crunchbase.com/organization/jio-health,"Fitness, Health Care, Wellness","Irvine, California, United States",A life empowerment company.,"12,322",$1M to $10M,2011-01-01,year,"Health Care, Sports",1,,2,7726020,USD,7726020,1,Private,,,,1,Early Stage Venture,2019-04-01,5000000,USD,5000000,Series A,0,2,
Kosas,https://www.crunchbase.com/organization/kosas,"Beauty, Cosmetics, Fashion","Encino, California, United States","A Los Angeles, Ca.-based color cosmetics company.","12,334",$1M to $10M,2015-01-01,year,"Clothing and Apparel, Consumer Goods, Design",1,,3,2000000,USD,2000000,11,Private,,,,2,Early Stage Venture,2020-01-17,,,,Series B,0,5,
SONDORS,https://www.crunchbase.com/organization/sondors,"Automotive, Cycling, Electric Vehicle, Green Consumer Goods, Logistics, Transportation","Malibu, California, United States",SONDORS revolutionizes the the way the world views affordable electric transportation for the masses.,"12,352",,2015-02-01,month,"Consumer Goods, Sports, Sustainability, Transportation",1,,7,3798973,USD,3798973,2,Private,,,,,,2020-02-25,,,,Equity Crowdfunding,1,2,
Vangst,https://www.crunchbase.com/organization/vangst,"Cannabis, Employment, Human Resources, Recruiting","Los Angeles, California, United States",Vangst is a recruiting platform that connects companies with the talent they need.,"12,361",Less than $1M,2016-01-01,year,"Community and Lifestyle, Food and Beverage, Health Care, Professional Services",1,101-250,2,12500000,USD,12500000,4,Private,,,,2,Early Stage Venture,2019-01-24,10000000,USD,10000000,Series A,,,
SmartyPants Vitamins,https://www.crunchbase.com/organization/smartypants-vitamins,"E-Commerce, Health Care, Nutrition","Venice, California, United States","SmartyPants Vitamins offers gummy vitamins that include multivitamin, omega-3, and vitamin D supplements for kids and adults.","12,375",$10M to $50M,2010-01-01,year,"Commerce and Shopping, Food and Beverage, Health Care",2,11-50,6,19500978,USD,19500978,5,Private,,,,1,,2015-07-30,12560978,USD,12560978,Venture - Series Unknown,0,10,
Open Raven,https://www.crunchbase.com/organization/open-raven,"Cyber Security, Network Security","Los Angeles, California, United States",Open Raven is a developer of data security tools.,"12,420",,2019-01-01,year,"Information Technology, Privacy and Security",1,11-50,1,4100000,USD,4100000,4,Private,,,,1,Seed,2020-02-11,4100000,USD,4100000,Seed,,,
textPlus,https://www.crunchbase.com/organization/textplus,"Android, Communities, iOS, Messaging, Mobile","Marina Del Rey, California, United States","Gogii is a mobile communications service that enables users to text, talk, and share for free.","12,438",$1M to $10M,2007-12-01,day,"Community and Lifestyle, Information Technology, Internet Services, Messaging and Telecommunications, Mobile, Platforms, Software",4,101-250,5,53229009,USD,53229009,4,Private,,Made Acquisitions,,3,,2015-03-25,6904009,USD,6904009,Venture - Series Unknown,0,4,
DTT,https://www.crunchbase.com/organization/dtt,"Hospitality, Retail, Retail Technology","Los Angeles, California, United States",The leading nationwide provider of video-based surveillance & loss prevention services for the hospitality and specialty retail industries.,"12,450",$10M to $50M,1999-01-01,year,"Commerce and Shopping, Hardware, Software, Travel and Tourism",1,251-500,4,147000000,USD,147000000,3,Private,,Made Acquisitions,,2,Private Equity,2018-01-09,80000000,USD,80000000,Debt Financing,2,7,
Prolacta Bioscience,https://www.crunchbase.com/organization/prolacta-bioscience,"Biotechnology, Life Science, Nutrition","City Of Industry, California, United States",Prolacta Bioscience provides human milk-based nutritional products for premature infants in the neonatal intensive care unit (NICU).,"12,514",$10M to $50M,1999-01-01,year,"Biotechnology, Food and Beverage, Health Care, Science and Engineering",1,51-100,7,78043517,USD,78043517,11,Private,,,,3,,2018-05-15,8908625,USD,8908625,Venture - Series Unknown,32,28,
Sugarfina,https://www.crunchbase.com/organization/sugarfina,"E-Commerce, Food and Beverage, Shopping","Beverly Hills, California, United States",Sugarfina is an eCommerce shopping site for a luxury candy boutique.,"12,521",$1M to $10M,2012-01-01,year,"Commerce and Shopping, Food and Beverage",1,251-500,3,39000000,USD,39000000,2,Private,,,,1,Private Equity,2017-08-03,35000000,USD,35000000,Private Equity,23,35,
DeviantArt,https://www.crunchbase.com/organization/deviantart,"Art, Communities, E-Commerce, Internet, Music, News, Photography, Social Media","West Hollywood, California, United States","DeviantArt is an online art gallery and community creating the cultural context for how art is created, discovered, and shared.","12,544",,2000-08-07,day,"Commerce and Shopping, Community and Lifestyle, Content and Publishing, Internet Services, Media and Entertainment, Music and Audio",4,101-250,2,13537704,USD,13537704,3,Private,,Was Acquired,,1,M&A,2013-09-26,10037704,USD,10037704,Series B,0,28,
Solve HQ,https://www.crunchbase.com/organization/solve-hq,"Content, Digital Media, Video Games","Venice, California, United States",Solve HQ is a first-of-its-kind interactive content company.,"12,598",,2018-01-01,year,"Gaming, Media and Entertainment",,,1,20000000,USD,20000000,4,Private,,,,,,2019-12-16,20000000,USD,20000000,Venture - Series Unknown,0,9,
Gaikai,https://www.crunchbase.com/organization/gaikai,"Cloud Computing, Gaming, Video Games","Aliso Viejo, California, United States",Gaikai is a video game streaming platform that utilizes cloud-based gaming technology to enable users to play games instantly.,"12,599",,2008-11-01,day,"Gaming, Internet Services, Software",3,101-250,3,45039999,USD,45039999,8,Private,,Was Acquired,,2,M&A,2011-07-20,30000000,USD,30000000,Series C,0,1,
AllVoices,https://www.crunchbase.com/organization/allvoices-6415,"Analytics, B2B, Human Resources, Information Technology, Small and Medium Businesses, Software","Santa Monica, California, United States","AllVoices is an anonymous reporting tool that enables anyone to report harassment, bias, & culture issues directly to company leadership. ","12,615",,2017-11-01,month,"Data and Analytics, Information Technology, Software",,1-10,2,3000000,USD,3000000,5,Private,,,,,Seed,2020-02-06,3000000,USD,3000000,Seed,,,
Activision Blizzard,https://www.crunchbase.com/organization/activision,"eSports, Gaming, Video Games","Santa Monica, California, United States","Activision Blizzard is an entertainment company that develops, publishes, and distributes video games for gaming consoles.","12,651",$1B to $10B,2008-07-01,month,"Gaming, Sports",1,5001-10000,,,,,,Public,2017-05-24,Made Acquisitions,8,,IPO,,,,,,405,515,
Centercode,https://www.crunchbase.com/organization/centercode,"Consulting, Market Research, Product Research, SaaS, Software","Laguna Hills, California, United States","Centercode is a SaaS Customer Validation company providing the platform and services for Alpha, Beta, and Field Tests.","12,671",$1M to $10M,2001-05-05,day,"Data and Analytics, Design, Software",4,51-100,2,7500006,USD,7500006,2,Private,,Made Acquisitions,6,2,,2019-07-12,3999996,USD,3999996,Venture - Series Unknown,,,
Pinscreen,https://www.crunchbase.com/organization/pinscreen,"Consumer Applications, Mobile Apps, Photo Editing, Social Media, Software, Video Games, Virtual Reality","Los Angeles, California, United States",Revolutionizing digital communication and online human interactions with user-generated and personalized 3D virtual avatars.,"12,672",Less than $1M,2015-09-01,month,"Apps, Content and Publishing, Gaming, Hardware, Internet Services, Media and Entertainment, Mobile, Software",3,11-50,2,3800000,USD,3800000,3,Private,,,,2,Seed,2017-03-16,2000000,USD,2000000,Seed,5,3,
EXPERT DOJO,https://www.crunchbase.com/organization/expert-dojo,"Consulting, Enterprise, Venture Capital","Santa Monica, California, United States",Expert DOJO is a startup accelerator based in Santa Monica.,"12,693",Less than $1M,2014-12-02,day,"Financial Services, Lending and Investments",1,1-10,,,,,,Private,,,9,,,,,,,,,,
UberMedia,https://www.crunchbase.com/organization/ubermedia,"Advertising, Advertising Platforms, Marketing, Mobile, Mobile Advertising, Social Media","Pasadena, California, United States","UberMedia is one of the most trusted mobile insights platforms that powers advertising, location measurement, and business intelligence.","12,716",$1M to $10M,2010-03-01,day,"Advertising, Internet Services, Media and Entertainment, Mobile, Sales and Marketing",1,101-250,5,34600000,USD,34600000,15,Private,,Made Acquisitions,1,2,,2014-05-05,8000000,USD,8000000,Venture - Series Unknown,3,8,
Sellbrite,https://www.crunchbase.com/organization/sellbrite,"E-Commerce, SaaS, Software","Pasadena, California, United States",Sellbrite is an online multichannel ecommerce platform.,"12,719",$1M to $10M,2013-01-01,year,"Commerce and Shopping, Software",2,11-50,6,2768284,USD,2768284,7,Private,,Was Acquired,1,1,M&A,2017-12-08,403819,USD,403819,Debt Financing,,,
NantWorks,https://www.crunchbase.com/organization/nantworks,"Biotechnology, Health Care, Semiconductor","Culver City, California, United States","NantWorks combines semiconductor technology, supercomputing and advanced networks to improve healthcare, commerce and digital entertainment.","12,723",$100M to $500M,2010-01-01,year,"Biotechnology, Hardware, Health Care, Science and Engineering",1,51-100,2,140000000,USD,140000000,1,Private,,Made Acquisitions,,1,,2014-05-18,15000000,USD,15000000,Venture - Series Unknown,25,4,
IXIA,https://www.crunchbase.com/organization/ixia,"Private Social Networking, Web Hosting, Wireless","Calabasas, California, United States","Ixia provides IP network validation and network visibility solutions for equipment manufacturers, service providers and government agencies.","12,816",,1997-01-01,year,"Community and Lifestyle, Hardware, Internet Services, Mobile",,1001-5000,1,100000000,USD,100000000,4,Delisted,2000-10-27,"Made Acquisitions, Was Acquired",42,,M&A,2015-03-04,100000000,USD,100000000,Post-IPO Debt,3,2,
Event Farm,https://www.crunchbase.com/organization/event-farm,"Brand Marketing, Event Management, Events, Software","Santa Monica, California, United States","Event Farm provides event professionals invitation, registration and event activation technologies to promote brands and engage audiences.","12,864",$1M to $10M,2011-11-01,day,"Events, Media and Entertainment, Sales and Marketing, Software",2,51-100,5,5775000,USD,5775000,3,Private,,"Made Acquisitions, Was Acquired",1,1,M&A,2016-09-29,1750000,USD,1750000,Series A,0,3,
OroCommerce,https://www.crunchbase.com/organization/oro,"B2B, CRM, E-Commerce, Enterprise Software, Open Source, SaaS, Software","Los Angeles, California, United States","OroCommerce is the company behind OroCRM, OroCommerce and the OroPlatform.","12,878",Less than $1M,2012-10-21,day,"Commerce and Shopping, Information Technology, Sales and Marketing, Software",3,101-250,1,12000000,USD,12000000,1,Private,,,1,1,Early Stage Venture,2016-03-03,12000000,USD,12000000,Series A,0,11,
Zelos Gaming,https://www.crunchbase.com/organization/zelos-gaming-inc,"Gaming, Online Games, Video Games","Los Angeles, California, United States",Zelos is a rewards program where gamers earn points and redeem in-game prizes across multiple games.,"12,907",,2019-01-10,day,Gaming,2,1-10,1,150000,USD,150000,1,Private,,,,,Seed,2020-03-16,150000,USD,150000,Seed,,,
ChromaDex,https://www.crunchbase.com/organization/chromadex,"Internet, Wellness","Los Angeles, California, United States",ChromaDex is a global nutraceutical company devoted to improving the way people age.,"12,941",,1999-01-01,year,"Health Care, Internet Services",1,51-100,8,44735076,USD,44735076,2,Delisted,2008-06-30,,,1,IPO,2017-11-28,22999996,USD,22999996,Post-IPO Equity,19,30,
Entertainment Data Oracle (EDO),https://www.crunchbase.com/organization/entertainment-data-oracle,"Analytics, Big Data, Media and Entertainment","Los Angeles, California, United States","Entertainment Data Oracle(EDO) is a data, measurement, and analytics company.","12,952",,2014-01-01,year,"Data and Analytics, Media and Entertainment",1,11-50,1,12000000,USD,12000000,1,Private,,,,1,Early Stage Venture,2018-11-01,12000000,USD,12000000,Series A,,,
Biosynthetic Technologies,https://www.crunchbase.com/organization/biosynthetic-technologies,"Biotechnology, Cosmetics, Energy Efficiency, Manufacturing, Renewable Energy","Irvine, California, United States",BT manufactures a revolutionary new class of biobased synthetic molecules that are made from organic fatty acids found in plant oils.,"13,058",,2006-01-01,year,"Biotechnology, Consumer Goods, Energy, Manufacturing, Science and Engineering, Sustainability",1,11-50,3,109500000,USD,109500000,4,Private,,Was Acquired,,2,M&A,2019-05-07,9500000,USD,9500000,Series A,66,4,
Viseon Spine,https://www.crunchbase.com/organization/viseon-spine,"Clinical Trials, Health Care, Medical Device, Therapeutics","Irvine, California, United States",Viseon is a privately held medical device company,"13,100",Less than $1M,2017-04-03,day,Health Care,2,,2,23000000,USD,23000000,3,Private,,,,3,Early Stage Venture,2020-02-25,18000000,USD,18000000,Series B,,,
mophie,https://www.crunchbase.com/organization/mophie,"Battery, Hardware, Mobile, Mobile Devices, Software","Tustin, California, United States",mophie is a California-based technology company that manufactures accessories for smartphones and other mobile devices,"13,148",,2005-06-01,month,"Consumer Electronics, Energy, Hardware, Mobile, Software",3,101-250,2,4500000,USD,4500000,2,Private,,"Made Acquisitions, Was Acquired",,2,M&A,2010-09-08,4000000,USD,4000000,Series B,83,86,
EPIX Therapeutics,https://www.crunchbase.com/organization/advanced-cardiac-therapeutics,"Biotechnology, Life Science, Therapeutics","Laguna Beach, California, United States",EPIX Therapeutics develops and commercializes microwave radiometry-based products for electrophysiology tests.,"13,192",,2007-01-01,year,"Biotechnology, Health Care, Science and Engineering",1,11-50,6,69037000,USD,69037000,4,Private,,Was Acquired,,3,M&A,2017-05-02,45000000,USD,45000000,Venture - Series Unknown,25,6,
