Organization/Person Name,Organization/Person Name URL,Location,Industries,CB Rank (Company),Description,Estimated Revenue Range,Founded Date,Founded Date Precision,Industry Groups,Number of Founders,Number of Employees,Number of Funding Rounds,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Number of Investors,IPO Status,IPO Date,Acquisition Status,Number of Events,Number of Lead Investors,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,IPqwery - Patents,IPqwery - Trademarks
engage:BDR,https://www.crunchbase.com/organization/engage-bdr,"West Hollywood, California, United States","Advertising, Auctions, Digital Media, Mobile, Video","9,668",engage:BDR is a digital advertising company that offers cross-device video and display advertising solutions.,$1M to $10M,2009-01-01,year,"Advertising, Commerce and Shopping, Media and Entertainment, Mobile, Sales and Marketing, Video",3,51-100,1,26250000,USD,26250000,,Public,2017-12-14,Made Acquisitions,1,,IPO,2019-09-23,26250000,USD,26250000,Post-IPO Equity,0,3
ShoeDazzle,https://www.crunchbase.com/organization/shoedazzle,"El Segundo, California, United States","E-Commerce, Fashion, Shoes","9,686",ShoeDazzle is an online e-commerce site offering personalized and stylish ladies footwear handpicked by fashion experts.,,2009-03-01,day,"Clothing and Apparel, Commerce and Shopping, Consumer Goods, Design",3,51-100,4,66000000,USD,66000000,4,Private,,Was Acquired,,2,M&A,2012-10-03,6000000,USD,6000000,Venture - Series Unknown,0,10
Clique,https://www.crunchbase.com/organization/clique-media-3,"Los Angeles, California, United States","Advertising, Beauty, Brand Marketing, Content, Digital Media, E-Commerce, Fashion, Lifestyle","9,717",Clique is a media and commerce company,,2006-01-01,year,"Advertising, Clothing and Apparel, Commerce and Shopping, Community and Lifestyle, Consumer Goods, Design, Media and Entertainment, Sales and Marketing",2,101-250,4,27600000,USD,27600000,17,Private,,Made Acquisitions,2,2,Late Stage Venture,2017-06-27,15000000,USD,15000000,Series C,0,36
Jaanuu,https://www.crunchbase.com/organization/jaanuu-by-dr-neela,"El Segundo, California, United States","E-Commerce, Fashion, Health Care","9,731",Jaanuu is the most contemporary medical apparel brand in the world.,,2013-01-01,year,"Clothing and Apparel, Commerce and Shopping, Design, Health Care",1,11-50,7,22625000,USD,22625000,22,Private,,,,3,,2018-12-10,15000000,USD,15000000,Venture - Series Unknown,0,2
The LIVEKINDLY Co,https://www.crunchbase.com/organization/the-livekindly-co,"Los Angeles, California, United States",Food and Beverage,"9,752",The LIVEKINDLY co. is a collective of plant-based heritage and start-up brands.,,2020-01-01,year,Food and Beverage,1,,1,200000000,USD,200000000,,Private,,Made Acquisitions,,,,2020-03-11,200000000,USD,200000000,Venture - Series Unknown,,
Team SoloMid,https://www.crunchbase.com/organization/team-solomid,"Santa Monica, California, United States","Gaming, Internet, Media and Entertainment, Public Relations","9,765",Team Solomid is successful gaming organizations.,$1M to $10M,2009-09-01,month,"Gaming, Internet Services, Media and Entertainment, Sales and Marketing",1,101-250,1,37000000,USD,37000000,7,Private,,,2,1,Early Stage Venture,2018-07-24,37000000,USD,37000000,Series A,,
TTYL,https://www.crunchbase.com/organization/ttyl-inc,"Los Angeles, California, United States","Audio, iOS, Mobile Apps, Social Media","9,878",TTYL is a social voice platform.,,2018-01-01,year,"Apps, Internet Services, Media and Entertainment, Mobile, Music and Audio, Platforms, Software",2,1-10,1,2000000,USD,2000000,1,Private,,,,1,Seed,2018-07-03,2000000,USD,2000000,Seed,0,1
Fullscreen,https://www.crunchbase.com/organization/fullscreen,"Culver City, California, United States","Digital Media, News, Video","9,880","Fullscreen, a media company, powers the creation and sharing of video content with the connected generation through technology and services.",$50M to $100M,2011-01-24,day,"Content and Publishing, Media and Entertainment, Video",1,501-1000,2,30000000,USD,30000000,4,Private,,"Made Acquisitions, Was Acquired",4,1,M&A,2013-06-17,30000000,USD,30000000,Series A,0,23
Knowable Universe,https://www.crunchbase.com/organization/knowable-universe,"Los Angeles, California, United States",Software,"9,895",Knowable Universe is an audio learning platform,,2013-01-01,year,Software,,,1,4000000,USD,4000000,4,Private,,,,1,Seed,2019-10-01,4000000,USD,4000000,Seed,0,1
Shipsi,https://www.crunchbase.com/organization/shipsi-inc,"Venice, California, United States","E-Commerce, Information Services, Information Technology","9,899",Shipsi empowers any retailer with the ability to offer an easy “Instant Delivery” option on their checkout page.,,2017-01-01,year,"Commerce and Shopping, Information Technology",2,11-50,6,2800000,USD,2800000,9,Private,,,,4,Seed,2019-02-26,,,,Non-equity Assistance,0,1
Dash Radio,https://www.crunchbase.com/organization/dash-radio-inc,"Los Angeles, California, United States","Broadcasting, Digital Media, Music","9,906",Dash Radio is an all original radio broadcaster for the digital world.,$1M to $10M,2015-06-15,day,"Media and Entertainment, Music and Audio, Video",3,11-50,2,8800000,USD,8800000,19,Private,,,,,Seed,2018-10-24,8800000,USD,8800000,Seed,1,1
Your Super,https://www.crunchbase.com/organization/your-superfoods,"Los Angeles, California, United States","E-Commerce, Food and Beverage","9,908",Your Super inspires people to live healthier and happier with our organic superfood mixes,Less than $1M,2014-01-01,year,"Commerce and Shopping, Food and Beverage",2,1-10,1,5000000,USD,5000000,2,Private,,,,1,Early Stage Venture,2019-01-23,5000000,USD,5000000,Series A,,
Joymode,https://www.crunchbase.com/organization/joymode,"Los Angeles, California, United States","Outdoors, Peer to Peer, Rental","10,025",Joymode lets you access everything you need—but don't own—for great experiences.,Less than $1M,2015-01-01,year,"Commerce and Shopping, Sports",3,,3,16726100,USD,16726100,15,Private,,,,2,Early Stage Venture,2018-01-31,14400000,USD,14400000,Series A,0,1
Versus,https://www.crunchbase.com/organization/versus-llc,"Los Angeles, California, United States","Advertising Platforms, Apps, Digital Media, eSports, Gaming, Mobile, Video Games","10,027","Making it possible for game developers and publishers to offer rewards and prizes in their mobile, console, and PC games.",Less than $1M,2013-08-21,day,"Advertising, Apps, Gaming, Media and Entertainment, Mobile, Software, Sports",2,11-50,7,14321700,USD,14321700,1,Public,2015-03-05,,,,IPO,2019-08-14,1000000,CAD,751233,Undisclosed,3,1
Mobalytics,https://www.crunchbase.com/organization/mobalytics-2,"Santa Monica, California, United States","Analytics, eSports, Gaming, Machine Learning, Personal Development","10,028",Mobalytics is the first personal performance analytics for competitive gamers and esports.,$1M to $10M,2016-08-01,day,"Artificial Intelligence, Data and Analytics, Education, Gaming, Software, Sports",3,11-50,3,2600000,USD,2600000,11,Private,,Made Acquisitions,,1,,2018-07-13,,,,Venture - Series Unknown,0,3
Octi,https://www.crunchbase.com/organization/octi,"Los Angeles, California, United States","Augmented Reality, Computer, Social Network, Software, Video","10,071",Octi: The first people-powered social AR platform.,$1M to $10M,2016-01-01,year,"Consumer Electronics, Hardware, Internet Services, Media and Entertainment, Software, Video",1,11-50,3,7500000,USD,7500000,14,Private,,,1,2,Early Stage Venture,2019-10-01,,,,Series A,0,1
Quarterly,https://www.crunchbase.com/organization/quarterly,"Culver City, California, United States","E-Commerce, Gift Card","10,081",Quarterly offers a design-oriented subscription service enabling anyone to sign up and receive curated gifts from influential contributors.,,2011-05-01,day,"Commerce and Shopping, Financial Services",1,11-50,4,3650000,USD,3650000,11,Private,,Made Acquisitions,,1,Early Stage Venture,2015-09-02,,,,Convertible Note,,
Solaborate,https://www.crunchbase.com/organization/solaborate,"Los Angeles, California, United States","Information Technology, Private Social Networking, Social Media, Software","10,118","Solaborate, is all in one  communication  and collaboration platform company",,2012-06-01,day,"Community and Lifestyle, Information Technology, Internet Services, Media and Entertainment, Software",2,51-100,3,11430000,USD,11430000,2,Private,,,5,,Early Stage Venture,2020-02-03,10000000,USD,10000000,Series A,1,0
Sense360,https://www.crunchbase.com/organization/sense360,"Los Angeles, California, United States","Artificial Intelligence, Internet, Location Based Services, Mobile, Mobile Apps, Mobile Devices, Personalization","10,143","Sense360 provides companies with actionable data & intelligence about their customers, competitors, and industry.",$1M to $10M,2014-01-01,year,"Apps, Artificial Intelligence, Consumer Electronics, Data and Analytics, Hardware, Internet Services, Mobile, Navigation and Mapping, Science and Engineering, Software",2,11-50,4,13250002,USD,13250002,13,Private,,,2,1,,2018-04-20,3500002,USD,3500002,Venture - Series Unknown,0,2
Edlio,https://www.crunchbase.com/organization/edlio,"Los Angeles, California, United States","Computer, SaaS, Software","10,179",Edlio creates custom designed websites with an intuitive content management software.,$1M to $10M,2011-01-01,year,"Consumer Electronics, Hardware, Software",1,101-250,2,40000000,USD,40000000,2,Private,,Made Acquisitions,2,2,Private Equity,2018-10-17,,,,Private Equity,0,2
JustFoodForDogs,https://www.crunchbase.com/organization/justfoodfordogs,"West Hollywood, California, United States","Food and Beverage, Food Processing, Health Care","10,204","Nutritionally Balanced, 100% USDA Ingredients, No Preservatives, Vet Recommended & Always Hand-made in Small Batches.",$10M to $50M,2010-04-01,day,"Food and Beverage, Health Care",1,11-50,3,11100000,USD,11100000,1,Private,,,,1,,2018-10-25,8500000,USD,8500000,Venture - Series Unknown,0,6
Jakks Pacific,https://www.crunchbase.com/organization/jakks-pacific,"Santa Monica, California, United States","Electronics, Green Consumer Goods, Toys","10,205","JAKKS Pacific designs, develops, produces, and markets consumer products for kids.",$100M to $500M,1995-01-01,year,"Consumer Electronics, Consumer Goods, Hardware, Sustainability",1,501-1000,2,75000000,USD,75000000,2,Public,1998-06-10,Made Acquisitions,,,IPO,2016-10-17,,,,Post-IPO Equity,44,320
Glaukos,https://www.crunchbase.com/organization/glaukos,"San Clemente, California, United States","Health Care, Medical, Wellness","10,230",Glaukos is a glaucoma treatment company developing micro-bypass therapies to moderate the intraocular pressures that help preserve vision.,$50M to $100M,1998-01-01,year,Health Care,3,251-500,7,121000392,USD,121000392,8,Public,2015-06-25,Made Acquisitions,,2,IPO,2013-02-07,30000000,USD,30000000,Series F,120,46
ICON Aircraft,https://www.crunchbase.com/organization/icon,"Los Angeles, California, United States","Aerospace, Hardware, Infrastructure, Transportation","10,272","ICON Aircraft's mission is to bring the freedom, fun, and adventure of flying to all who have dreamed of flight.",$10M to $50M,2005-01-01,year,"Hardware, Science and Engineering, Transportation",2,51-100,5,89466000,USD,89466000,9,Private,,,,2,Late Stage Venture,2013-06-20,60000000,USD,60000000,Series D,37,28
AmazeVR,https://www.crunchbase.com/organization/amazevr,"West Hollywood, California, United States","Gaming, Hardware, Media and Entertainment, Software, Video on Demand, Video Streaming, Virtual Reality","10,287",A Virtual Reality startup to become the world's top platform for premium VR content,,2015-07-09,day,"Content and Publishing, Gaming, Hardware, Media and Entertainment, Software, Video",4,11-50,3,15800000,USD,15800000,11,Private,,,,2,Early Stage Venture,2020-01-27,2500000,USD,2500000,Series A,0,7
Hixme,https://www.crunchbase.com/organization/hixme-inc,"Agoura Hills, California, United States","Health Care, Health Insurance, Insurance, InsurTech","10,289",Connecting mid-market companies to the cost savings and consumer choice of the individual health insurance markets,$1M to $10M,2013-01-01,year,"Financial Services, Health Care",1,11-50,4,23947500,USD,23947500,4,Private,,,,2,Early Stage Venture,2016-10-25,14100000,USD,14100000,Series B,0,1
Storyblaster,https://www.crunchbase.com/organization/storyblaster,"Studio City, California, United States","Social Media, Social Media Marketing, Software","10,294",Storyblaster is a computer software platform designed for crowdfunding.,,2016-01-01,year,"Internet Services, Media and Entertainment, Sales and Marketing, Software",2,11-50,3,4710000,USD,4710000,5,Private,,,,2,Seed,2020-03-05,2500000,USD,2500000,Seed,1,2
Virtualitics,https://www.crunchbase.com/organization/virtualitics,"Pasadena, California, United States","Artificial Intelligence, Augmented Reality, Data Visualization, Machine Learning, Natural Language Processing, Software, Virtual Reality","10,306",Virtualitics provides data visualization in virtual reality and augmented reality environments.,Less than $1M,2015-01-01,year,"Artificial Intelligence, Data and Analytics, Design, Hardware, Information Technology, Science and Engineering, Software",4,11-50,3,11400000,USD,11400000,2,Private,,,5,2,Early Stage Venture,2018-02-28,7000000,USD,7000000,Series B,2,2
AwesomenessTV,https://www.crunchbase.com/organization/awesomeness-tv,"Los Angeles, California, United States","Media and Entertainment, TV, TV Production","10,313",AwesomenessTV is a next generation media company serving the global Generation Z audience,,2012-06-21,day,"Media and Entertainment, Video",3,251-500,2,162500000,USD,162500000,11,Private,,"Made Acquisitions, Was Acquired",7,2,M&A,2016-04-06,159000000,USD,159000000,Undisclosed,0,36
Maple Media,https://www.crunchbase.com/organization/maple-media,"Los Angeles, California, United States","Advertising, Android, Digital Media, iOS, Marketing, Media and Entertainment, Mobile Advertising, Mobile Apps, Social Media","10,357","Maple Media is a mobile media, advertising and technology company that acquires, manages, and operates mobile applications.",Less than $1M,2016-12-01,day,"Advertising, Apps, Internet Services, Media and Entertainment, Mobile, Platforms, Sales and Marketing, Software",2,11-50,1,30000000,USD,30000000,1,Private,,Made Acquisitions,,1,Private Equity,2017-02-22,30000000,USD,30000000,Private Equity,0,9
Forge,https://www.crunchbase.com/organization/forrge,"Playa Vista, California, United States","Human Resources, SaaS, Software","10,367",Forge is platform that empowers hourly workforces to work on-demand while giving their employers the tools needed to run their business.,$1M to $10M,2015-01-01,year,Software,4,11-50,3,4000000,USD,4000000,11,Private,,"Made Acquisitions, Was Acquired",,,M&A,2018-06-06,,,,Convertible Note,,
Nasty Gal,https://www.crunchbase.com/organization/nasty-gal,"Los Angeles, California, United States","E-Commerce, Fashion, Retail","10,382",Fashion,$10M to $50M,2006-11-01,day,"Clothing and Apparel, Commerce and Shopping, Design",1,251-500,3,65000000,USD,65000000,2,Private,,Was Acquired,,2,M&A,2015-02-26,16000000,USD,16000000,Series C,,
Matter,https://www.crunchbase.com/organization/matter-music,"Los Angeles, California, United States","Independent Music, Media and Entertainment, Music, Music Streaming","10,398",beyond streaming,,2019-02-01,month,"Internet Services, Media and Entertainment, Music and Audio",2,1-10,1,500000,USD,500000,,Private,,,,,Seed,2019-06-01,500000,USD,500000,Pre-Seed,0,2
Iodine,https://www.crunchbase.com/organization/iodine,"Santa Monica, California, United States","Analytics, Data Visualization, Health Care, Internet, Location Based Services","10,415",Iodine is a healthcare company helps people find the right medications.,,2013-01-01,year,"Data and Analytics, Design, Health Care, Information Technology, Internet Services, Navigation and Mapping, Software",2,11-50,2,2500000,USD,2500000,10,Private,,Was Acquired,,,M&A,2014-02-28,2500000,USD,2500000,Seed,0,6
Camino Financial,https://www.crunchbase.com/organization/camino-financial,"Los Angeles, California, United States","Commercial Lending, Credit, Financial Services, FinTech, Small and Medium Businesses","10,445",Camino Financial is a data-driven fintech platform pioneering affordable small business loans to Latinx businesses,,2014-01-01,year,"Financial Services, Lending and Investments",2,51-100,9,20350000,USD,20350000,7,Private,,,,3,Early Stage Venture,2019-12-11,8000000,USD,8000000,Series A,0,1
Parrot Analytics,https://www.crunchbase.com/organization/parrot-analytics,"Beverly Hills, California, United States","Artificial Intelligence, Big Data, Content Discovery, Enterprise Software, Film, Internet, Machine Learning, Media and Entertainment, TV","10,470","Parrot Analytics is a data science company that measures and predicts global demand for content, across all platforms, around the world. ",$1M to $10M,2013-01-01,year,"Artificial Intelligence, Content and Publishing, Data and Analytics, Internet Services, Media and Entertainment, Science and Engineering, Software, Video",3,11-50,3,18000000,NZD,12428245,10,Private,,,,1,Early Stage Venture,2018-07-25,15000000,NZD,10265401,Series A,0,12
TPx Communications,https://www.crunchbase.com/organization/telepacific-communications,"Los Angeles, California, United States","Internet, ISP, Telecommunications, Web Hosting","10,502","TPx Communications provides business internet, phone and data services for business telecommunication needs.",,1998-01-01,year,"Hardware, Internet Services",1,1001-5000,5,292000000,USD,292000000,2,Private,,"Made Acquisitions, Was Acquired",9,2,M&A,2011-07-26,125000000,USD,125000000,Private Equity,,
AllVoices,https://www.crunchbase.com/organization/allvoices-6415,"Santa Monica, California, United States","Analytics, B2B, Human Resources, Information Technology, Small and Medium Businesses, Software","10,525","AllVoices is an anonymous reporting tool that enables anyone to report harassment, bias, & culture issues directly to company leadership. ",,2017-11-01,month,"Data and Analytics, Information Technology, Software",,1-10,2,3000000,USD,3000000,5,Private,,,,,Seed,2020-02-06,3000000,USD,3000000,Seed,,
Funraise,https://www.crunchbase.com/organization/funraise,"Los Angeles, California, United States","Crowdfunding, Enterprise Software, SaaS, Software","10,562",Nonprofit Fundraising Software,$1M to $10M,2015-01-01,year,"Financial Services, Software",3,51-100,2,12700000,USD,12700000,3,Private,,,,1,Early Stage Venture,2018-01-30,9700000,USD,9700000,Series A,0,5
Vyng,https://www.crunchbase.com/organization/vyng,"Venice, California, United States","Apps, Digital Entertainment, Software, Video","10,571",Vyng has built a next-generation phone call platform to start better conversations with friends and better interactions with businesses,$1M to $10M,2015-01-01,year,"Apps, Media and Entertainment, Software, Video",3,,3,7000000,USD,7000000,13,Private,,,,3,Early Stage Venture,2018-12-13,4000000,USD,4000000,Series A,14,2
Lucid Sight,https://www.crunchbase.com/organization/lucid-sight,"Los Angeles, California, United States","Blockchain, Computer, Cryptocurrency, Ethereum, Product Design, Video Games, Virtual Reality","10,581","Lucid Sight, Inc. develops games with digital scarcity and true digital ownership as first principles.",$1M to $10M,2015-01-01,year,"Consumer Electronics, Design, Financial Services, Gaming, Hardware, Payments, Software",3,11-50,3,11000000,USD,11000000,10,Private,,,,2,Early Stage Venture,2019-04-02,6000000,USD,6000000,Series B,0,11
Alphaeon,https://www.crunchbase.com/organization/alphaeon,"Irvine, California, United States","Health Care, Medical Device, Wellness","10,585",ALPHAEON Corporation is a social commerce company with the goal of transforming self-pay healthcare.,,2013-07-22,day,Health Care,1,251-500,4,160760133,USD,160760133,4,Private,,"Made Acquisitions, Was Acquired",,2,M&A,2016-08-10,53700000,USD,53700000,Convertible Note,52,42
Scalefast,https://www.crunchbase.com/organization/scalefast,"El Segundo, California, United States","B2B, B2C, Cloud Computing, E-Commerce, E-Commerce Platforms, Payments, Subscription Service","10,593",Scalefast is a global digital commerce solution that simplifies and streamlines ecommerce for inspirational brands.,,2014-01-01,year,"Commerce and Shopping, Financial Services, Internet Services, Payments, Software",3,51-100,2,10000000,USD,10000000,4,Private,,,2,1,Early Stage Venture,2017-12-21,8000000,USD,8000000,Series A,0,3
Iyuno Media Group,https://www.crunchbase.com/organization/iyuno-media-group,"Burbank, California, United States","Broadcasting, Digital Media, Film Distribution, Media and Entertainment","10,596",Iyuno Media Group is a global localization and media content distribution services with 40 facilities in 30 countries.,$1M to $10M,2002-01-01,year,"Media and Entertainment, Video",1,1001-5000,1,23500000,USD,23500000,1,Private,,"Made Acquisitions, Was Acquired",,1,M&A,2018-04-13,23500000,USD,23500000,Series A,,
SONDORS,https://www.crunchbase.com/organization/sondors,"Malibu, California, United States","Automotive, Cycling, Electric Vehicle, Green Consumer Goods, Logistics, Transportation","10,598",SONDORS revolutionizes the the way the world views affordable electric transportation for the masses.,,2015-02-01,month,"Consumer Goods, Sports, Sustainability, Transportation",1,,7,3798973,USD,3798973,2,Private,,,,,,2020-02-25,,,,Equity Crowdfunding,1,2
Hippeas,https://www.crunchbase.com/organization/hippeas,"Los Angeles, California, United States","Food and Beverage, Health Care, Organic Food","10,605",Hippeas is a operator of natural snack food companies.,$1M to $10M,2015-01-01,year,"Food and Beverage, Health Care",1,11-50,4,22000000,USD,22000000,3,Private,,,,2,,2018-12-07,8000000,USD,8000000,Venture - Series Unknown,,
BookingPal,https://www.crunchbase.com/organization/bookingpal,"Irvine, California, United States","Leisure, SaaS, Travel","10,625","BookingPal is a distribution platform for vacation rental properties, resorts, campgrounds and RV park owners.",$1M to $10M,2013-01-01,year,"Community and Lifestyle, Software, Travel and Tourism",1,11-50,5,22009994,USD,22009994,8,Private,,,,3,Late Stage Venture,2019-03-04,12000000,USD,12000000,Series D,0,3
Maestro,https://www.crunchbase.com/organization/maestro-io,"Los Angeles, California, United States","eSports, Video, Video on Demand, Video Streaming","10,632","Maestro provides a white label platform for enterprise live streamers to own, engage, and monetize their audiences.",,2015-01-01,day,"Content and Publishing, Media and Entertainment, Sports, Video",1,11-50,3,5800000,USD,5800000,11,Private,,,2,1,Early Stage Venture,2019-12-21,,,,Series A,0,1
Skechers U.S.A.,https://www.crunchbase.com/organization/skechers-u-s-a,"Manhattan Beach, California, United States","Fashion, Lifestyle, Shopping","10,634","SKECHERS USA, Inc. designs, develops and markets more than 3,000 styles for men, women and children.",$1B to $10B,1992-01-01,year,"Clothing and Apparel, Commerce and Shopping, Community and Lifestyle, Design",1,5001-10000,1,500000000,USD,500000000,,Public,1999-06-09,Made Acquisitions,,,IPO,2019-11-26,500000000,USD,500000000,Post-IPO Debt,,
HomeHero,https://www.crunchbase.com/organization/homehero,"Santa Monica, California, United States","Health Care, Home Health Care, Internet, Service Industry","10,665",HomeHero is a non-medical home care provider that leverages technology and human compassion to extend the health system into the home.,,2013-05-01,day,"Health Care, Internet Services",2,11-50,3,23000000,USD,23000000,9,Private,,,,2,Seed,2016-03-28,,,,Pre-Seed,,
Specright,https://www.crunchbase.com/organization/specright,"Irvine, California, United States","SaaS, Software, Supply Chain Management","10,708",Specright’s Specification Data Management™platform enables companies to manage & map product and packaging data across the supply chain..,,2014-11-01,month,"Software, Transportation",1,51-100,3,11955273,USD,11955273,4,Private,,,,1,Early Stage Venture,2019-04-29,8800000,USD,8800000,Series A,0,6
Jumpcut,https://www.crunchbase.com/organization/jumpcut-studios,"Los Angeles, California, United States","Digital Media, Education, Film Production, Internet, Social Media Marketing, Video, Video Editing","10,759",Jumpcut creates captivating online courses.,Less than $1M,2014-06-01,month,"Content and Publishing, Education, Internet Services, Media and Entertainment, Sales and Marketing, Video",3,11-50,2,2000000,USD,2000000,13,Private,,,1,1,Seed,2019-08-06,,,,Seed,,
ArmaGen Technologies,https://www.crunchbase.com/organization/armagen-technologies,"Santa Monica, California, United States","Biotechnology, Health Care, Medical","10,761",ArmaGen is focused on developing technologies for siRNA delivery across the blood-brain barrier.,$1M to $10M,2001-01-01,year,"Biotechnology, Health Care, Science and Engineering",1,11-50,2,25492899,USD,25492899,4,Private,,Was Acquired,,1,M&A,2012-11-29,17000000,USD,17000000,Series A,3,1
mitú,https://www.crunchbase.com/organization/mitú,"Santa Monica, California, United States","Communities, Hospitality, Publishing","10,772",Home to the largest community of Latino,$1M to $10M,2012-01-01,year,"Community and Lifestyle, Content and Publishing, Media and Entertainment, Travel and Tourism",3,51-100,5,52000000,USD,52000000,13,Private,,Was Acquired,2,2,M&A,2018-11-14,10000000,USD,10000000,Series D,1,10
SetPoint Medical,https://www.crunchbase.com/organization/setpoint-medical,"Valencia, California, United States","Biotechnology, Health Care, Medical Device, Neuroscience","10,798",SetPoint Medical treats patients with debilitating inflammatory diseases using proprietary implantable bioelectronic devices.,$1M to $10M,2006-01-01,year,"Biotechnology, Health Care, Science and Engineering",3,11-50,7,84300000,USD,84300000,10,Private,,,,1,Late Stage Venture,2017-08-28,30000000,USD,30000000,Series D,31,3
