"","id","Organization.Name","Organization.Name.URL","Industries","Headquarters.Location","Description","CB.Rank..Company.","Estimated.Revenue.Range","Founded.Date","Founded.Date.Precision","Industry.Groups","Number.of.Founders","Number.of.Employees","Number.of.Funding.Rounds","Total.Funding.Amount","Total.Funding.Amount.Currency","Total.Funding.Amount.Currency..in.USD.","Number.of.Investors","IPO.Status","IPO.Date","Acquisition.Status","Number.of.Events","Number.of.Lead.Investors","Funding.Status","Last.Funding.Date","Last.Funding.Amount","Last.Funding.Amount.Currency","Last.Funding.Amount.Currency..in.USD.","Last.Funding.Type","IPqwery...Total.Patents","IPqwery...Total.Trademarks","Investment.Stage","Y"
"530",530,"HMBradley","https://www.crunchbase.com/organization/hmbradley","Apps, Banking, Finance, Financial Services, Mobile, Wealth Management","Santa Monica, California, United States","HMBradley develops a digital banking platform that automates the process of physical banking.",11765,"NA","2018-01-01","year","Apps, Financial Services, Lending and Investments, Mobile, Software","3","11-50","1","3500000","USD","3500000","5","Private","NA","NA","NA","2","Seed","2019-11-06","3500000","USD","3500000","Seed","0","1","NA",0
"531",531,"Songtradr","https://www.crunchbase.com/organization/songtradr","Digital Media, E-Commerce, Marketplace, Music, Music Streaming","Santa Monica, California, United States","Songtradr is an online marketplace designed to facilitate music licensing for films, TV shows, ads, apps, and other media.",11786,"NA","2014-01-01","year","Commerce and Shopping, Internet Services, Media and Entertainment, Music and Audio","1","11-50","7","21240000","USD","21240000","3","Private","NA","Made Acquisitions","2","2","Early Stage Venture","2019-03-21","1.2e+07","USD","12000000","Series B","2","5","NA",0
"532",532,"Plant Prefab","https://www.crunchbase.com/organization/plant-prefab","Architecture, Construction, GreenTech, Manufacturing, Smart Building","Rialto, California, United States","Plant Prefab is the first prefabricated home factory in the nation dedicated to sustainable construction.",11817,"NA","2015-01-01","year","Manufacturing, Real Estate, Sustainability","1","NA","2","9700000","USD","9700000","3","Private","NA","NA","NA","2","Early Stage Venture","2018-09-25","6700000","USD","6700000","Series A","1","1","NA",0
"533",533,"BookingPal","https://www.crunchbase.com/organization/bookingpal","Leisure, SaaS, Travel","Irvine, California, United States","BookingPal is a distribution platform for vacation rental properties, resorts, campgrounds and RV park owners.",11857,"$1M to $10M","2013-01-01","year","Community and Lifestyle, Software, Travel and Tourism","1","11-50","5","22009994","USD","22009994","8","Private","NA","NA","NA","3","Late Stage Venture","2019-03-04","1.2e+07","USD","12000000","Series D","0","3","NA",0
"534",534,"TOCA Football","https://www.crunchbase.com/organization/toca-football","Recreation, Soccer, Sports","Costa Mesa, California, United States","TOCA is a soccer technology company that aims to disrupt and elevate the soccer experience through user-centered technology.",11863,"$10M to $50M","2013-01-01","year","Sports","1","11-50","3","36460671","USD","36460671","2","Private","NA","NA","NA","1","Late Stage Venture","2019-10-30","2.5e+07","USD","25000000","Series D","6","27","NA",0
"535",535,"Quality Systems","https://www.crunchbase.com/organization/quality-systems","Biotechnology, Health Care, Medical","Irvine, California, United States","Quality Systems develops healthcare information systems that automate medical and dental practices.",11869,"$500M to $1B","1974-01-01","year","Biotechnology, Health Care, Science and Engineering","1","1001-5000","3","323394037","USD","323394037","2","Public","1982-12-10","Made Acquisitions","NA","2","IPO","2018-04-02","3e+08","USD","300000000","Post-IPO Debt","0","7","NA",0
"536",536,"Anine Bing","https://www.crunchbase.com/organization/anine-bing","E-Commerce, Internet, Retail, Shopping","Los Angeles, California, United States","ANINE BING offers luxurious staples, wardrobe basics and statement pieces that are current and timeless.",11880,"$10M to $50M","2012-01-01","year","Commerce and Shopping, Internet Services","1","NA","1","1.5e+07","USD","1.5e+07","3","Private","NA","NA","NA","1","Early Stage Venture","2018-09-01","1.5e+07","USD","15000000","Series A","0","6","NA",0
"537",537,"Breitbart News Network","https://www.crunchbase.com/organization/breitbart-news-network","Media and Entertainment, News, Publishing","Los Angeles, California, United States","Breitbart News Network offers real-time access to news and analysis sources online.",11895,"$1M to $10M","2007-01-01","year","Content and Publishing, Media and Entertainment","1","1-10","1","1e+07","USD","1e+07","NA","Private","NA","NA","NA","NA","NA","2011-09-26","1e+07","USD","10000000","Venture - Series Unknown","0","1","NA",0
"538",538,"SurveySparrow","https://www.crunchbase.com/organization/surveysparrow","Market Research","Walnut, California, United States","SurveySparrow lets you collect feedback naturally, gain insights and make better decisions.",11910,"NA","2017-03-02","day","Data and Analytics, Design","2","11-50","1","1425000","USD","1425000","1","Private","NA","NA","NA","1","NA","2019-04-02","1425000","USD","1425000","Venture - Series Unknown","NA","NA","NA",0
"539",539,"DMarket","https://www.crunchbase.com/organization/dmarket","Digital Entertainment, Gaming, Internet","Santa Monica, California, United States","DMarket is an in-game item trading platform.",11932,"NA","2017-05-01","month","Gaming, Internet Services, Media and Entertainment","3","101-250","1","1.9e+07","USD","1.9e+07","3","Private","NA","NA","5","1","NA","2017-12-05","1.9e+07","USD","19000000","Initial Coin Offering","NA","NA","NA",0
"540",540,"Luxury Presence","https://www.crunchbase.com/organization/luxury-presence","Advertising, Real Estate","Santa Monica, California, United States","Website and marketing system used by the world’s leading real estate agents and brokers.",11952,"$1M to $10M","2014-01-01","year","Advertising, Real Estate, Sales and Marketing","1","NA","2","5400000","USD","5400000","7","Private","NA","NA","NA","1","Early Stage Venture","2020-01-08","5400000","USD","5400000","Series A","NA","NA","NA",0
"541",541,"Jukin Media","https://www.crunchbase.com/organization/jukin-media","Digital Entertainment, Digital Media, TV Production","Los Angeles, California, United States","Jukin Media is the global leader in user-generated entertainment",11954,"NA","2009-01-01","year","Media and Entertainment, Video","3","101-250","6","8400000","USD","8400000","7","Private","NA","Made Acquisitions","9","NA","NA","2016-06-30","2500000","USD","2500000","Debt Financing","0","53","NA",0
"542",542,"Yamibuy","https://www.crunchbase.com/organization/yamibuy","Beauty, E-Commerce, Retail","Brea, California, United States","Yamibuy is the leading Asian-centric Internet retailer in the U.S.",11954,"NA","2013-03-28","day","Commerce and Shopping, Consumer Goods","1","251-500","1","1e+07","USD","1e+07","3","Private","NA","NA","NA","1","Early Stage Venture","2017-07-10","1e+07","USD","10000000","Series A","0","4","NA",0
"543",543,"Patch of Land","https://www.crunchbase.com/organization/patch-of-land","Crowdfunding, Finance, FinTech, Internet, Lending, Real Estate","Los Angeles, California, United States","Patch of Land is real estate crowdfunding site that brings together borrowers and investors through a simple online interface",11971,"NA","2013-02-02","day","Financial Services, Internet Services, Real Estate","3","51-100","3","24925000","USD","24925000","6","Private","NA","NA","3","1","Early Stage Venture","2015-04-08","23600000","USD","23600000","Series A","0","4","NA",0
"544",544,"Homestead","https://www.crunchbase.com/organization/homestead","Construction, Property Development, Property Management, Real Estate","Los Angeles, California, United States","Homestead finances and manages the conversion of garages into rental apartments.",11977,"NA","2019-12-17","day","Real Estate","2","11-50","1","150000","USD","150000","1","Private","NA","NA","NA","NA","Seed","2020-03-16","150000","USD","150000","Seed","NA","NA","NA",0
"545",545,"Opus Bank","https://www.crunchbase.com/organization/opus-bank","Banking, Real Estate, Service Industry","Irvine, California, United States","Opus Bank's mission is to identify and accelerate the work of business leaders and successful entrepreneurs who have proven their ability.",11999,"$50M to $100M","2010-09-30","day","Financial Services, Lending and Investments, Real Estate","2","501-1000","1","5.3e+07","USD","5.3e+07","NA","Public","2014-04-17","Made Acquisitions","NA","NA","IPO","2017-02-15","5.3e+07","USD","53000000","Post-IPO Equity","0","7","NA",0
"546",546,"Spaces","https://www.crunchbase.com/organization/spaces-6","Augmented Reality, Computer, Software, Virtual Reality, Virtual World","Santa Monica, California, United States","SPACES designs VR, AR and MR experiences for theme parks, retail, and other public locations worldwide.",12072,"$1M to $10M","2016-01-01","year","Community and Lifestyle, Consumer Electronics, Hardware, Media and Entertainment, Software","2","11-50","2","9500000","USD","9500000","11","Private","NA","NA","NA","2","NA","2017-01-13","6500000","USD","6500000","Venture - Series Unknown","NA","NA","NA",0
"547",547,"United Capital","https://www.crunchbase.com/organization/united-capital","Advice, Consulting, Financial Services, Wealth Management","Newport Beach, California, United States","United Capital is a wealth counseling company assisting clients achieve empowerment over their financial aspirations.",12074,"$10M to $50M","2005-01-01","year","Financial Services, Media and Entertainment","2","501-1000","1","3.8e+07","USD","3.8e+07","3","Private","NA","Made Acquisitions, Was Acquired","NA","1","M&A","2013-10-21","3.8e+07","USD","38000000","Venture - Series Unknown","1","1","NA",0
"548",548,"Brighter.com","https://www.crunchbase.com/organization/brighter","Dental, Health Care, Information Technology, Internet, Marketplace","Santa Monica, California, United States","Brighter creates an online marketplace that allows members to compare dentists by price and reputation.",12086,"NA","2011-01-01","year","Commerce and Shopping, Health Care, Information Technology, Internet Services","1","51-100","4","4.9e+07","USD","4.9e+07","5","Private","NA","Was Acquired","NA","4","M&A","2016-04-20","2.1e+07","USD","21000000","Series D","1","18","NA",0
"549",549,"Connexity","https://www.crunchbase.com/organization/connexity","Advertising, E-Commerce, Internet, Internet of Things, Marketing, Online Portals","Los Angeles, California, United States","Connexity is an integrated digital advertising company providing optimized audience buying and selling solutions.",12096,"NA","1997-07-01","day","Advertising, Commerce and Shopping, Internet Services, Sales and Marketing","NA","501-1000","3","5e+06","USD","5e+06","4","Private","NA","Made Acquisitions, Was Acquired","4","1","M&A","2012-08-02","3e+06","USD","3000000","Seed","10","40","NA",0
"550",550,"FreedomPop","https://www.crunchbase.com/organization/freedompop","Internet, Mobile, Wireless","West Los Angeles, California, United States","FreedomPop is a free internet and free phone service provider.",12144,"NA","2011-01-01","year","Hardware, Internet Services, Mobile","1","101-250","8","109300009","USD","109300009","9","Private","NA","NA","NA","6","Late Stage Venture","2016-01-20","5e+07","USD","50000000","Series C","NA","NA","NA",0
"551",551,"Mars Reel","https://www.crunchbase.com/organization/mars-reel","Digital Media, Internet, Sports, Video","Los Angeles, California, United States","Mars Reel Media is building a sports network for high school and amateur sports.",12243,"NA","2010-01-01","year","Internet Services, Media and Entertainment, Sports, Video","2","11-50","2","4825000","USD","4825000","24","Private","NA","NA","1","3","Seed","2018-08-01","4700000","USD","4700000","Seed","0","1","NA",0
"552",552,"Envoy Technologies Inc.","https://www.crunchbase.com/organization/envoy-there","Car Sharing, Communities, Electric Vehicle, Real Estate, Transportation","Culver City, California, United States","Envoy provides electric vehicle (EV) carsharing as an amenity within communities.",12250,"$1M to $10M","2017-04-01","month","Community and Lifestyle, Real Estate, Transportation","2","11-50","5","6500000","USD","6500000","3","Private","NA","NA","1","1","Seed","2019-09-01","5e+06","USD","5000000","Seed","0","2","NA",0
"553",553,"GlobeNewswire","https://www.crunchbase.com/organization/globenewswire","News, Publishing","Los Angeles, California, United States","GlobeNewswire is specialized in the delivery of corporate press releases, financial disclosures, and multimedia content.",12293,"$1M to $10M","1998-01-01","year","Content and Publishing, Media and Entertainment","NA","1-10","NA","NA","NA","NA","NA","Private","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0
